Acronym/ Abbreviation,Mapped Value
STTD,Sales Tax Tribunal Decisions
SLJ,Sikkim Law Journal
SLC,Sikkim Law Cases
Stt (C & T N),Statutes (Central & T. N.)
SLJ,Srinagar Law Journal
SLJ,Simla Law Journal
SPJ,Speed Post Judgments
SCC (Cr),Supreme Court Cases (Criminal)
SCC (L&S),Supreme Court Cases (Labour & Services)
SCC (Ta),Supreme Court Cases (Taxation)
SCRC,Supreme Court Rent Cases
SCWR,Supreme Court Weekly Reporter
SCR,Supreme Court Reports
SCWR,Supreme Court Weekly Reports
TS,Tax Saver
Tax LR,Taxation Law Reports
UJ,Unreported Judgments
UPRCC,Uttar Pradesh Rent Control Cases
All Cr R,Allahabad Criminal Reports
All Cr R,Allahabad Criminal Rulings
ALR,Arbitration Law Reporter
B L R,Bombay Law Reporter 
Cal L R,Calcutta Law Reports
CMLR,Common Market Law Review
CMLR,Common Market Law Reports
CLR,Current Law Reports
Cri L R,Criminal Law Reporter
Cri L R,Criminal Law Review
CLR,Coopertive Law Reporter
CLP,Compensation Law in Practice
CLP,Current Legal Problems
DRJ,Delhi Rent Judgments
MLR,Modern Law Review
NLJ,Nagpur Law Journal
NLJ,New Law Journal
sub-r.,sub rule
sub-rr.,sub rule(s)
P. ,Paragraph
L. R.,Legal Representative
I. A.,Interlocutory Application
S. L. P.,Special Leave Petition
F. B.,Full Bench
F. C.,Family Court
Crl.,Criminal
Crl. A.,Criminal Appeal
Cr. A.,Criminal Appeal
shmt.,Shrimati
M.O.,Memorandum of Understanding
MoU,Memorandum of Understanding
Exh.,Exhibit
P.W.,Plaintiff Witness
D.W.,Defendant Witness
Sup.,Supplementary
Supl.,Supplementary
In Re,In Regards
Re,Records of Rights
rr.,rules
ITAT,Income Tax Appellate Tribunal
C. A.,Civil Appeal
F.O.B.,Free on Board
CESTAT,"Customs, Excise and Service Tax Appellate Tribunal"
S.C.A.,Supreme Court Appeal
CAs.,Civil Appeals
All C J,Allahabad Civil Journal
All Cr C,Allahabad Criminal Cases
Alld Cr C & R,Allahabad Criminal Cases and Reports
All Cr LJ,Allahabad Criminal Law Journal
u/s,under section
DB,Division Bench
HC,High Court
App.,Appellant
O.P.,Original Petition
O.P.,Opposite Party
Res.,Respondent
Respnd.,Respondent
Pet.,Petitioner
Petnr.,Petitioner
WP©,Writ Petition (Civil)
CS,Civil Suit
Review Pet.,Review Petition
CRP,Revision Petition
Ex. P.,Execution Petition
OTR,Other Tax Reference
OTC,Other Tax Cases
OT. Appl.,Other Tax Application
FAO,First Appeal from Orders
C.A.,Court of Appeal
AC,Appeal Cases
DC,Divisional Court
Vol.,Volume
Supra,Cited above
LT,Law Times
